epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,30451.3,1.68896,0.95857,1.2297,0.87056,0.77755,0.85469,0.48391,1.16419,0.65369,0.87442,0.000858664,0.000858664,0.000858664
76,30794.9,1.67888,0.94546,1.22594,0.87124,0.77872,0.85499,0.48436,1.1637,0.65222,0.8742,0.000855018,0.000855018,0.000855018
77,31124.5,1.67602,0.94297,1.22356,0.87225,0.77851,0.85523,0.48478,1.16306,0.64943,0.8739,0.000851333,0.000851333,0.000851333
78,31465.1,1.67607,0.94789,1.22485,0.87317,0.77705,0.85583,0.48539,1.16238,0.64762,0.87356,0.000847611,0.000847611,0.000847611
79,31799.3,1.68395,0.9497,1.22866,0.87293,0.77618,0.8563,0.48584,1.1619,0.64607,0.87337,0.000843851,0.000843851,0.000843851
80,32120.9,1.67586,0.94335,1.22521,0.87405,0.77644,0.85671,0.48636,1.16145,0.64473,0.87319,0.000840054,0.000840054,0.000840054
81,32458.8,1.67027,0.94061,1.22299,0.87563,0.77607,0.85698,0.48646,1.16086,0.64406,0.87289,0.00083622,0.00083622,0.00083622
82,32779.6,1.66529,0.93791,1.22608,0.87541,0.7763,0.85704,0.48683,1.16046,0.64347,0.87277,0.000832349,0.000832349,0.000832349
83,33560.8,1.67295,0.93986,1.22281,0.87435,0.77792,0.85728,0.48719,1.16012,0.64326,0.8726,0.000828443,0.000828443,0.000828443
84,33880.8,1.66921,0.9357,1.22369,0.87473,0.77803,0.85742,0.48722,1.15975,0.64208,0.87244,0.000824502,0.000824502,0.000824502
85,34233.4,1.67297,0.9384,1.22342,0.87516,0.77748,0.85725,0.48748,1.1597,0.64131,0.8723,0.000820525,0.000820525,0.000820525
86,34559.9,1.66954,0.93917,1.22073,0.87647,0.77607,0.85735,0.4876,1.15935,0.64096,0.87209,0.000816514,0.000816514,0.000816514
87,34905.3,1.66597,0.9394,1.2217,0.87705,0.77649,0.85775,0.48773,1.15876,0.63916,0.8718,0.000812468,0.000812468,0.000812468
88,35230.6,1.66511,0.93205,1.21855,0.87606,0.77702,0.85804,0.48788,1.15859,0.6375,0.87182,0.000808389,0.000808389,0.000808389
89,35728.2,1.664,0.93235,1.22136,0.87561,0.77729,0.85804,0.48806,1.15826,0.63583,0.87158,0.000804277,0.000804277,0.000804277
