                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 3.1816,                 1.6128,                 1.9202,                 0.9052,                0.76222,                0.85214,                0.52995,                 1.1784,                0.82037,                0.74848,              0.0008912,              0.0008912,              0.0008912
                     58,                 3.2208,                 1.6663,                 1.9288,                0.90327,                0.76095,                0.85188,                0.53114,                 1.1709,                0.67761,                0.74547,              0.0008714,              0.0008714,              0.0008714
                     59,                 3.2353,                 1.6829,                 1.9302,                  0.907,                0.75927,                 0.8507,                0.51805,                 1.1998,                0.63703,                0.75137,              0.0008516,              0.0008516,              0.0008516
                     60,                 3.1557,                 1.5939,                 1.9055,                0.91036,                0.76143,                0.85317,                0.52965,                 1.1801,                0.74072,                0.74948,              0.0008318,              0.0008318,              0.0008318
                     61,                 3.2114,                 1.6722,                 1.9388,                0.89923,                0.75674,                0.84924,                0.50955,                 1.2016,                0.67117,                0.75155,               0.000812,               0.000812,               0.000812
                     62,                 3.1823,                 1.6388,                 1.9192,                 0.9115,                0.76139,                0.85313,                0.53051,                 1.1691,                 0.6609,                0.74552,              0.0007922,              0.0007922,              0.0007922
                     63,                 3.1501,                 1.5888,                 1.9035,                0.90537,                0.75162,                0.84934,                 0.5095,                 1.2017,                 1.8631,                0.75203,              0.0007724,              0.0007724,              0.0007724
                     64,                 3.1647,                 1.6156,                 1.9197,                0.90599,                0.76728,                0.85619,                0.53055,                 1.1707,                0.66182,                0.74576,              0.0007526,              0.0007526,              0.0007526
                     65,                 3.1774,                 1.6517,                 1.9265,                 0.9015,                0.76158,                0.85013,                0.52087,                 1.1799,                  0.708,                0.74768,              0.0007328,              0.0007328,              0.0007328
                     66,                 3.1298,                 1.5799,                 1.9047,                0.90497,                0.76137,                0.85241,                0.53129,                 1.1699,                0.64243,                0.74657,               0.000713,               0.000713,               0.000713
                     67,                 3.1797,                 1.6392,                 1.9187,                0.90065,                0.76181,                0.85495,                0.52067,                 1.1879,                0.65378,                0.74815,              0.0006932,              0.0006932,              0.0006932
                     68,                 3.1207,                 1.5909,                 1.9237,                0.89857,                0.76432,                0.85094,                 0.5217,                 1.1762,                 0.6229,                0.74636,              0.0006734,              0.0006734,              0.0006734
                     69,                 3.2027,                 1.6509,                 1.9047,                0.89385,                0.77527,                0.85635,                0.52975,                 1.1657,                0.63255,                0.74406,              0.0006536,              0.0006536,              0.0006536
                     70,                 3.1424,                 1.5945,                  1.904,                0.90711,                 0.7698,                0.85814,                0.53014,                 1.1678,                0.64297,                0.74453,              0.0006338,              0.0006338,              0.0006338
                     71,                 3.0964,                 1.5565,                  1.909,                0.89979,                0.77022,                0.85489,                0.53085,                 1.1657,                0.62206,                0.74386,               0.000614,               0.000614,               0.000614
                     72,                  3.146,                  1.606,                 1.9141,                0.90263,                0.77127,                0.85841,                0.52907,                 1.1677,                0.77998,                0.74344,              0.0005942,              0.0005942,              0.0005942
                     73,                 3.1122,                 1.5903,                 1.8976,                0.90802,                0.76933,                0.86032,                0.52962,                 1.1714,                0.62255,                0.74392,              0.0005744,              0.0005744,              0.0005744
                     74,                 3.1238,                 1.6019,                 1.9147,                0.90489,                 0.7675,                0.85708,                0.52179,                 1.1753,                 0.6629,                 0.7453,              0.0005546,              0.0005546,              0.0005546
                     75,                 3.0854,                 1.5376,                 1.8929,                0.90758,                0.76939,                0.86052,                0.52351,                 1.1782,                0.61297,                0.74359,              0.0005348,              0.0005348,              0.0005348
                     76,                 3.0539,                  1.557,                 1.9083,                0.90416,                0.76894,                0.85819,                0.52305,                 1.1781,                0.83003,                0.74411,               0.000515,               0.000515,               0.000515
                     77,                 3.1243,                 1.5881,                 1.8859,                0.90476,                0.77034,                0.85965,                0.53157,                 1.1705,                0.62262,                0.74354,              0.0004952,              0.0004952,              0.0004952
                     78,                 3.0978,                 1.5726,                 1.8886,                 0.9087,                0.76723,                0.85682,                0.52778,                 1.1739,                0.62732,                0.74465,              0.0004754,              0.0004754,              0.0004754
                     79,                 3.0589,                 1.5479,                 1.8879,                0.90425,                0.77275,                 0.8602,                0.53753,                 1.1542,                0.60459,                0.74134,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.9961,                 1.5024,                 1.8879,                0.89932,                0.77138,                0.85747,                0.53054,                 1.1634,                0.61977,                0.74198,              0.0004358,              0.0004358,              0.0004358
                     81,                 3.0197,                  1.517,                 1.8725,                0.90268,                 0.7677,                0.85627,                0.53384,                 1.1562,                0.60311,                0.74023,               0.000416,               0.000416,               0.000416
