                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 3.2702,                 1.6885,                 1.9296,                 0.8917,                0.75274,                0.83841,                0.50264,                 1.2243,                 1.0026,                0.75872,              0.0014753,              0.0014753,              0.0014753
                     55,                 3.2613,                 1.6903,                 1.9493,                0.89296,                0.74852,                0.83954,                0.50576,                 1.2063,                0.96339,                0.75218,              0.0014654,              0.0014654,              0.0014654
                     56,                 3.2726,                 1.6857,                 1.9388,                0.89976,                0.75049,                0.84048,                0.50456,                 1.2215,                 1.3068,                 0.7599,              0.0014555,              0.0014555,              0.0014555
                     57,                 3.2363,                  1.639,                 1.9352,                0.89385,                 0.7599,                0.84624,                0.51957,                 1.1977,                 1.3333,                0.75513,              0.0014456,              0.0014456,              0.0014456
                     58,                 3.2719,                 1.7033,                 1.9446,                0.88262,                0.75969,                0.84709,                0.52049,                 1.1881,                0.96741,                 0.7505,              0.0014357,              0.0014357,              0.0014357
                     59,                 3.2854,                 1.7294,                 1.9424,                0.88794,                0.74934,                 0.8417,                0.51208,                 1.2049,                0.72603,                0.75399,              0.0014258,              0.0014258,              0.0014258
                     60,                 3.2165,                 1.6412,                 1.9212,                0.89412,                0.76222,                0.84475,                0.52341,                 1.1854,                0.66966,                0.75175,              0.0014159,              0.0014159,              0.0014159
                     61,                  3.272,                 1.7186,                 1.9544,                 0.8896,                0.74979,                0.83911,                0.50945,                 1.2044,                0.64169,                 0.7533,               0.001406,               0.001406,               0.001406
                     62,                 3.2459,                 1.6775,                 1.9365,                0.88947,                0.74745,                0.84227,                0.51691,                 1.1966,                 1.1026,                0.75229,              0.0013961,              0.0013961,              0.0013961
                     63,                 3.2186,                 1.6302,                 1.9209,                0.88448,                0.75527,                0.84004,                 0.5002,                 1.2066,                 1.6236,                0.75597,              0.0013862,              0.0013862,              0.0013862
                     64,                  3.238,                 1.6632,                 1.9364,                0.89216,                0.76492,                0.84846,                0.51763,                  1.197,                0.65153,                0.75274,              0.0013763,              0.0013763,              0.0013763
                     65,                 3.2393,                 1.6978,                 1.9437,                 0.8909,                0.76534,                0.84817,                 0.5215,                 1.1778,                 0.6642,                0.74838,              0.0013664,              0.0013664,              0.0013664
                     66,                 3.2033,                 1.6212,                 1.9225,                0.89591,                0.76748,                0.85343,                0.52052,                 1.1846,                0.62854,                0.74852,              0.0013565,              0.0013565,              0.0013565
                     67,                 3.2364,                 1.6736,                 1.9325,                 0.8921,                0.76615,                 0.8506,                0.51716,                 1.1917,                0.83827,                0.75021,              0.0013466,              0.0013466,              0.0013466
                     68,                 3.1898,                 1.6279,                 1.9425,                0.89736,                0.76137,                0.84806,                0.51335,                 1.1908,                0.64957,                0.75188,              0.0013367,              0.0013367,              0.0013367
                     69,                 3.2843,                 1.6993,                 1.9257,                0.90601,                0.75442,                0.85091,                0.52216,                 1.1829,                0.71873,                0.74848,              0.0013268,              0.0013268,              0.0013268
                     70,                 3.2033,                 1.6378,                 1.9194,                0.89762,                0.77169,                0.85499,                0.52635,                 1.1786,                0.67037,                0.74893,              0.0013169,              0.0013169,              0.0013169
                     71,                 3.1733,                 1.6054,                 1.9278,                0.89521,                0.76495,                0.85114,                0.52224,                 1.1853,                0.63563,                0.74802,               0.001307,               0.001307,               0.001307
                     72,                  3.216,                 1.6464,                 1.9348,                0.89899,                0.76668,                0.85359,                0.52312,                 1.1874,                   1.12,                0.75117,              0.0012971,              0.0012971,              0.0012971
                     73,                 3.1946,                 1.6305,                 1.9182,                0.89948,                0.76705,                0.85197,                0.52169,                 1.1871,                0.62249,                0.75094,              0.0012872,              0.0012872,              0.0012872
                     74,                 3.2076,                 1.6482,                 1.9366,                 0.8984,                0.76874,                0.85559,                 0.5179,                 1.1909,                0.64937,                0.74957,              0.0012773,              0.0012773,              0.0012773
                     75,                 3.1777,                  1.585,                 1.9161,                0.89079,                0.77043,                0.85363,                0.51305,                  1.202,                0.78927,                0.74992,              0.0012674,              0.0012674,              0.0012674
                     76,                 3.1345,                 1.6008,                 1.9282,                0.88736,                0.77979,                0.85581,                0.51146,                 1.1999,                0.83961,                0.75195,              0.0012575,              0.0012575,              0.0012575
                     77,                 3.2201,                 1.6461,                 1.9085,                0.90107,                0.76516,                0.85729,                0.52205,                 1.1831,                0.67343,                0.74739,              0.0012476,              0.0012476,              0.0012476
                     78,                 3.1835,                 1.6244,                 1.9085,                0.89878,                 0.7658,                0.85359,                0.52147,                 1.1866,                0.66551,                0.74829,              0.0012377,              0.0012377,              0.0012377
                     79,                 3.1604,                 1.5942,                 1.9142,                  0.896,                0.77022,                0.85688,                0.53577,                 1.1556,                0.68514,                 0.7438,              0.0012278,              0.0012278,              0.0012278
                     80,                 3.0893,                 1.5469,                 1.9112,                0.89873,                0.76727,                0.85564,                 0.5264,                 1.1809,                0.65596,                0.75042,              0.0012179,              0.0012179,              0.0012179
                     81,                 3.1113,                  1.563,                 1.8949,                0.88648,                 0.7697,                0.85048,                0.52247,                 1.1827,                0.63709,                0.75022,               0.001208,               0.001208,               0.001208
                     82,                 3.1418,                 1.5783,                 1.9148,                0.90109,                0.77706,                0.86013,                0.53792,                 1.1534,                 0.6151,                0.74487,              0.0011981,              0.0011981,              0.0011981
                     83,                 3.1292,                 1.5961,                 1.9224,                0.90349,                0.77095,                0.85601,                0.52774,                  1.177,                 1.0448,                0.75016,              0.0011882,              0.0011882,              0.0011882
                     84,                 3.1486,                 1.5998,                  1.918,                0.89925,                0.76325,                0.85284,                0.52005,                  1.184,                0.62897,                0.74733,              0.0011783,              0.0011783,              0.0011783
                     85,                  3.179,                 1.6064,                 1.8947,                0.90379,                0.76664,                 0.8547,                0.52486,                 1.1741,                 0.6393,                0.74706,              0.0011684,              0.0011684,              0.0011684
                     86,                 3.1416,                 1.6058,                 1.9091,                0.90195,                0.77022,                  0.858,                0.52998,                 1.1759,                0.61187,                 0.7469,              0.0011585,              0.0011585,              0.0011585
                     87,                  3.158,                 1.5885,                  1.906,                0.90365,                0.77148,                0.85567,                0.52668,                 1.1765,                0.75536,                0.74643,              0.0011486,              0.0011486,              0.0011486
                     88,                 3.1466,                 1.6351,                 1.9125,                0.91222,                0.77044,                0.85938,                0.53786,                 1.1502,                0.63172,                0.74284,              0.0011387,              0.0011387,              0.0011387
                     89,                 3.1222,                 1.5856,                 1.8909,                0.89747,                0.77991,                0.85918,                0.53893,                 1.1465,                0.64581,                0.74146,              0.0011288,              0.0011288,              0.0011288
                     90,                 3.1098,                 1.5821,                 1.9014,                0.90649,                0.77717,                0.86216,                0.53835,                 1.1581,                0.61016,                0.74401,              0.0011189,              0.0011189,              0.0011189
                     91,                 3.1289,                 1.5847,                 1.9058,                0.89906,                0.78599,                0.86133,                0.53488,                 1.1596,                0.72924,                0.74322,               0.001109,               0.001109,               0.001109
                     92,                 3.1225,                 1.5896,                 1.9166,                0.89992,                0.78159,                0.86308,                 0.5381,                  1.152,                0.63094,                0.74128,              0.0010991,              0.0010991,              0.0010991
                     93,                  3.167,                 1.6173,                 1.9058,                0.90213,                0.78201,                 0.8628,                0.53813,                  1.158,                0.71473,                0.74219,              0.0010892,              0.0010892,              0.0010892
                     94,                 3.1153,                 1.5633,                 1.9029,                0.89507,                0.78511,                0.86181,                0.53573,                 1.1537,                0.84706,                0.74054,              0.0010793,              0.0010793,              0.0010793
                     95,                  3.103,                 1.5804,                 1.8942,                0.90201,                0.77822,                0.85869,                0.53762,                  1.158,                0.62838,                0.74166,              0.0010694,              0.0010694,              0.0010694
                     96,                 3.0834,                 1.5551,                 1.9039,                0.89989,                0.77624,                0.85926,                0.52822,                 1.1573,                0.62543,                0.74037,              0.0010595,              0.0010595,              0.0010595
                     97,                 3.1242,                 1.5901,                 1.9049,                0.89862,                0.78496,                0.86185,                0.52561,                 1.1776,                0.66623,                0.74534,              0.0010496,              0.0010496,              0.0010496
                     98,                 3.0311,                 1.5134,                 1.8988,                0.90418,                0.77908,                0.86213,                0.53871,                 1.1638,                0.59985,                0.74578,              0.0010397,              0.0010397,              0.0010397
                     99,                 3.1212,                 1.5817,                 1.8983,                0.90856,                0.77432,                 0.8603,                0.53345,                 1.1624,                  0.608,                 0.7449,              0.0010298,              0.0010298,              0.0010298
                    100,                 3.1107,                  1.582,                 1.8885,                0.90134,                0.77734,                0.86021,                 0.5346,                 1.1639,                 0.6369,                0.74485,              0.0010199,              0.0010199,              0.0010199
                    101,                 3.1568,                 1.6077,                 1.9083,                0.90536,                0.77022,                0.85788,                0.53319,                 1.1588,                0.72522,                0.74428,                0.00101,                0.00101,                0.00101
                    102,                  3.076,                 1.5408,                 1.8817,                0.89741,                0.77931,                0.86074,                0.53031,                 1.1677,                0.66192,                0.74483,              0.0010001,              0.0010001,              0.0010001
                    103,                 3.0964,                 1.5859,                 1.9105,                0.89606,                0.77759,                0.85859,                0.53315,                 1.1654,                0.60565,                0.74311,              0.0009902,              0.0009902,              0.0009902
                    104,                 3.1195,                 1.5728,                 1.9008,                0.89733,                0.77991,                0.86297,                0.53696,                 1.1609,                0.61083,                0.74369,              0.0009803,              0.0009803,              0.0009803
                    105,                 3.0669,                 1.5464,                 1.8885,                0.89119,                0.78328,                0.86172,                0.53602,                 1.1539,                0.62407,                0.74218,              0.0009704,              0.0009704,              0.0009704
                    106,                 3.0568,                 1.5203,                 1.8889,                0.88885,                0.78995,                0.86452,                0.54457,                 1.1486,                0.61616,                0.74056,              0.0009605,              0.0009605,              0.0009605
                    107,                 3.0375,                 1.5152,                 1.8994,                0.89806,                0.78296,                0.86337,                0.54215,                 1.1495,                0.71084,                0.74211,              0.0009506,              0.0009506,              0.0009506
                    108,                 3.0727,                  1.528,                 1.8842,                0.90592,                0.78279,                0.86684,                0.54574,                 1.1487,                0.60476,                0.74084,              0.0009407,              0.0009407,              0.0009407
                    109,                 3.0595,                 1.5583,                 1.9007,                0.90365,                0.78559,                 0.8655,                0.53972,                 1.1547,                0.60772,                0.74228,              0.0009308,              0.0009308,              0.0009308
                    110,                 3.0361,                  1.546,                 1.8882,                0.89809,                0.78644,                0.86362,                0.53305,                 1.1731,                0.59911,                0.74483,              0.0009209,              0.0009209,              0.0009209
                    111,                 3.1178,                 1.5837,                 1.8834,                0.90021,                0.78275,                0.86366,                0.54316,                 1.1471,                0.59849,                0.74061,               0.000911,               0.000911,               0.000911
                    112,                  3.012,                 1.4961,                 1.8769,                0.89798,                0.78433,                0.86401,                0.53931,                 1.1532,                0.65419,                0.74209,              0.0009011,              0.0009011,              0.0009011
                    113,                 3.0256,                 1.5166,                  1.883,                0.90175,                  0.779,                0.86127,                0.53463,                  1.156,                0.60334,                0.74441,              0.0008912,              0.0008912,              0.0008912
                    114,                 3.0726,                 1.5426,                 1.8856,                0.90686,                0.77633,                0.86462,                0.53844,                 1.1534,                0.61055,                0.74234,              0.0008813,              0.0008813,              0.0008813
                    115,                 3.0242,                 1.5122,                 1.8858,                0.90925,                0.78709,                0.86734,                0.54526,                 1.1513,                0.60485,                0.74005,              0.0008714,              0.0008714,              0.0008714
                    116,                  3.032,                 1.5059,                 1.8711,                0.90559,                0.78589,                0.86511,                0.53749,                 1.1614,                0.61539,                0.74338,              0.0008615,              0.0008615,              0.0008615
                    117,                 3.0517,                  1.546,                 1.8867,                0.89377,                0.78325,                0.86408,                0.53937,                  1.156,                0.60909,                0.74284,              0.0008516,              0.0008516,              0.0008516
                    118,                 2.9816,                 1.4688,                 1.8744,                0.90294,                 0.7877,                0.86499,                0.53961,                 1.1628,                0.60942,                0.74385,              0.0008417,              0.0008417,              0.0008417
                    119,                 2.9749,                 1.4825,                 1.8785,                0.89519,                0.78433,                0.86304,                0.54307,                 1.1489,                0.61826,                 0.7414,              0.0008318,              0.0008318,              0.0008318
                    120,                 3.0034,                 1.4979,                 1.8868,                 0.8966,                0.77949,                0.86133,                0.53858,                 1.1514,                0.61455,                0.74147,              0.0008219,              0.0008219,              0.0008219
                    121,                 3.0222,                 1.5076,                 1.8759,                0.90115,                0.78791,                0.86665,                0.54864,                 1.1388,                0.60266,                0.73918,               0.000812,               0.000812,               0.000812
                    122,                  3.003,                 1.5003,                 1.8817,                0.90486,                 0.7818,                0.86422,                0.54179,                 1.1579,                0.61406,                0.74461,              0.0008021,              0.0008021,              0.0008021
                    123,                 3.0333,                 1.5038,                 1.8669,                0.90331,                0.77801,                 0.8646,                0.54065,                 1.1519,                0.61235,                0.74104,              0.0007922,              0.0007922,              0.0007922
                    124,                 3.0218,                 1.4852,                 1.8616,                0.90496,                0.78054,                 0.8638,                0.53858,                  1.155,                0.61347,                0.74101,              0.0007823,              0.0007823,              0.0007823
                    125,                 3.0217,                 1.5133,                 1.8681,                0.90807,                0.78075,                0.86737,                0.54446,                 1.1501,                0.58433,                0.74115,              0.0007724,              0.0007724,              0.0007724
                    126,                 2.9528,                 1.4955,                 1.8734,                0.91394,                 0.7778,                0.86421,                0.54348,                 1.1521,                0.60256,                0.74237,              0.0007625,              0.0007625,              0.0007625
                    127,                 2.9811,                 1.4945,                  1.866,                0.90546,                0.78538,                0.86652,                0.54194,                 1.1534,                0.60867,                0.74162,              0.0007526,              0.0007526,              0.0007526
                    128,                 3.0038,                 1.4933,                 1.8625,                0.90335,                0.78147,                0.86756,                0.54569,                 1.1477,                0.61646,                0.74199,              0.0007427,              0.0007427,              0.0007427
                    129,                 3.0042,                 1.5108,                 1.8747,                 0.9044,                0.78102,                0.86669,                0.54378,                 1.1509,                0.60739,                0.74262,              0.0007328,              0.0007328,              0.0007328
                    130,                 3.0124,                 1.5041,                 1.8821,                0.90759,                0.77717,                0.86766,                0.54391,                 1.1471,                  0.606,                0.74028,              0.0007229,              0.0007229,              0.0007229
                    131,                 2.9891,                 1.5142,                 1.8827,                0.90498,                0.78231,                0.86746,                0.54636,                 1.1365,                 0.6132,                0.73788,               0.000713,               0.000713,               0.000713
                    132,                 2.9566,                 1.4771,                 1.8695,                 0.8878,                0.78875,                0.86491,                0.54466,                 1.1434,                0.59796,                0.73973,              0.0007031,              0.0007031,              0.0007031
                    133,                 2.9703,                 1.4801,                 1.8621,                0.90655,                 0.7837,                0.86691,                0.54687,                 1.1407,                0.59292,                0.74021,              0.0006932,              0.0006932,              0.0006932
                    134,                 2.9349,                 1.4542,                 1.8536,                0.89818,                0.78219,                0.86645,                0.54617,                 1.1389,                0.61699,                0.74094,              0.0006833,              0.0006833,              0.0006833
                    135,                 2.9835,                 1.4873,                  1.863,                0.88819,                0.79549,                0.86785,                0.54754,                 1.1376,                0.61812,                 0.7399,              0.0006734,              0.0006734,              0.0006734
                    136,                 2.9798,                 1.4979,                 1.8671,                0.89669,                0.78425,                  0.867,                0.54477,                 1.1434,                0.59665,                0.73997,              0.0006635,              0.0006635,              0.0006635
                    137,                  2.917,                 1.4384,                 1.8541,                0.89736,                0.78328,                0.86723,                0.54843,                  1.135,                0.59603,                 0.7379,              0.0006536,              0.0006536,              0.0006536
                    138,                 2.9886,                 1.4988,                 1.8743,                0.89994,                0.79191,                0.86856,                 0.5498,                 1.1388,                0.59142,                0.73853,              0.0006437,              0.0006437,              0.0006437
                    139,                 2.9996,                 1.5428,                 1.8824,                0.90011,                0.79144,                 0.8702,                0.55134,                 1.1358,                0.58929,                0.73817,              0.0006338,              0.0006338,              0.0006338
                    140,                  2.951,                 1.4568,                 1.8567,                 0.9001,                0.78944,                0.86913,                0.55011,                 1.1367,                0.58528,                0.73859,              0.0006239,              0.0006239,              0.0006239
                    141,                 2.9276,                  1.457,                 1.8683,                0.90459,                0.78939,                0.86845,                0.54812,                 1.1389,                0.58236,                 0.7395,               0.000614,               0.000614,               0.000614
                    142,                 2.9491,                 1.4869,                 1.8686,                0.90418,                0.79191,                0.86955,                0.55055,                 1.1344,                 0.5874,                0.73892,              0.0006041,              0.0006041,              0.0006041
                    143,                 2.9568,                 1.4833,                 1.8689,                0.90248,                0.79324,                 0.8707,                0.55059,                 1.1365,                0.58386,                0.73811,              0.0005942,              0.0005942,              0.0005942
                    144,                 2.9042,                 1.4505,                 1.8605,                0.89997,                0.79401,                0.86939,                 0.5528,                  1.133,                0.57955,                0.73916,              0.0005843,              0.0005843,              0.0005843
                    145,                 2.9096,                  1.463,                  1.857,                0.90835,                 0.7917,                0.87039,                 0.5539,                 1.1332,                0.58125,                0.73896,              0.0005744,              0.0005744,              0.0005744
                    146,                 2.9708,                 1.5136,                  1.878,                0.90903,                0.78717,                0.86948,                0.55248,                 1.1388,                0.58798,                0.73983,              0.0005645,              0.0005645,              0.0005645
                    147,                 2.8863,                 1.4397,                 1.8538,                0.89961,                0.79339,                0.86994,                0.55271,                 1.1344,                0.58968,                0.73888,              0.0005546,              0.0005546,              0.0005546
                    148,                 2.8776,                 1.4464,                 1.8578,                0.91081,                0.79065,                0.87032,                 0.5551,                 1.1307,                0.58306,                0.73771,              0.0005447,              0.0005447,              0.0005447
                    149,                 2.8589,                 1.4399,                 1.8557,                0.90918,                0.78857,                0.86899,                0.55494,                 1.1342,                 0.5821,                0.73825,              0.0005348,              0.0005348,              0.0005348
                    150,                 2.8791,                 1.4163,                 1.8538,                0.91405,                0.78559,                0.87005,                0.55666,                 1.1308,                0.57738,                0.73798,              0.0005249,              0.0005249,              0.0005249
                    151,                 2.8325,                 1.4222,                 1.8658,                0.91188,                0.78899,                0.86998,                0.55732,                 1.1288,                 0.5732,                0.73769,               0.000515,               0.000515,               0.000515
                    152,                 2.8402,                 1.4048,                 1.8455,                0.90745,                0.79128,                0.86991,                0.55848,                 1.1286,                0.58253,                0.73824,              0.0005051,              0.0005051,              0.0005051
