                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 2.8043,                 1.4239,                 2.1666,                0.55028,                0.38119,                0.40807,                0.22356,                 3.2053,                 1.4776,                 2.3618,             0.00042305,             0.00042305,             0.00042305
                     56,                 2.7641,                 1.4037,                  2.153,                0.68486,                0.41075,                0.41117,                0.22235,                 3.2066,                  1.456,                 2.3715,             0.00041405,             0.00041405,             0.00041405
                     57,                 2.7747,                 1.4296,                  2.154,                0.66363,                0.43201,                0.41119,                0.22032,                 3.2876,                 1.4875,                 2.3887,             0.00040505,             0.00040505,             0.00040505
                     58,                 2.7744,                 1.4182,                 2.1418,                0.55873,                0.38739,                0.41856,                0.22521,                 3.2414,                 1.4763,                 2.3782,             0.00039605,             0.00039605,             0.00039605
                     59,                 2.8032,                 1.4294,                 2.1486,                0.51832,                0.40291,                0.40912,                0.21891,                 3.2307,                 1.4973,                 2.4001,             0.00038705,             0.00038705,             0.00038705
                     60,                 2.6957,                  1.368,                  2.137,                0.54349,                0.37349,                0.38875,                 0.2065,                 3.2914,                 1.5399,                  2.399,             0.00037805,             0.00037805,             0.00037805
                     61,                 2.7775,                 1.4273,                 2.1436,                0.68371,                0.40839,                0.41634,                0.22667,                 3.2275,                 1.4704,                 2.3956,             0.00036905,             0.00036905,             0.00036905
                     62,                 2.6721,                 1.3521,                 2.1284,                0.55965,                0.37619,                0.39715,                 0.2119,                  3.245,                 1.5081,                 2.3737,             0.00036005,             0.00036005,             0.00036005
                     63,                 2.8148,                 1.4178,                 2.1336,                0.53598,                0.39869,                0.41581,                0.22612,                 3.2443,                 1.4757,                 2.3732,             0.00035106,             0.00035106,             0.00035106
                     64,                 2.7139,                 1.3605,                 2.1325,                0.56518,                0.38247,                0.40928,                0.22813,                 3.2201,                 1.4923,                 2.3603,             0.00034206,             0.00034206,             0.00034206
                     65,                 2.6583,                   1.35,                 2.1232,                0.54423,                0.40982,                0.41761,                0.22839,                  3.255,                 1.4965,                 2.3847,             0.00033306,             0.00033306,             0.00033306
                     66,                 2.6827,                 1.3633,                 2.1355,                0.53055,                0.41248,                0.42435,                0.23125,                 3.2747,                 1.4593,                 2.4018,             0.00032406,             0.00032406,             0.00032406
                     67,                 2.6606,                 1.3445,                 2.1074,                0.56293,                0.41055,                0.42081,                0.23108,                 3.2535,                  1.446,                 2.3906,             0.00031506,             0.00031506,             0.00031506
                     68,                 2.6502,                 1.3055,                 2.1068,                0.56347,                0.40583,                0.42478,                 0.2357,                 3.2227,                 1.4324,                 2.3739,             0.00030606,             0.00030606,             0.00030606
                     69,                 2.6887,                  1.348,                 2.1158,                0.72706,                0.37606,                 0.4127,                0.22683,                 3.2251,                 1.4953,                  2.378,             0.00029706,             0.00029706,             0.00029706
                     70,                 2.6768,                 1.3488,                 2.1092,                0.54362,                0.40406,                0.41286,                0.22737,                 3.2527,                 1.4678,                 2.4008,             0.00028806,             0.00028806,             0.00028806
                     71,                 2.6827,                 1.3326,                 2.1035,                0.56073,                0.39495,                 0.4227,                0.23636,                 3.2292,                 1.4734,                 2.3973,             0.00027906,             0.00027906,             0.00027906
                     72,                 2.6362,                 1.3295,                 2.1016,                0.56506,                 0.3924,                 0.4283,                0.23474,                 3.2367,                  1.439,                 2.3958,             0.00027006,             0.00027006,             0.00027006
                     73,                 2.6276,                 1.2987,                 2.1022,                0.71939,                0.36657,                0.41709,                0.22476,                 3.2661,                 1.4841,                 2.3961,             0.00026106,             0.00026106,             0.00026106
                     74,                 2.6239,                 1.3058,                 2.0974,                0.70804,                0.40697,                0.41828,                0.22821,                 3.2814,                 1.4582,                 2.4104,             0.00025207,             0.00025207,             0.00025207
                     75,                  2.619,                 1.3104,                 2.0999,                0.57795,                0.40351,                0.42937,                0.23892,                 3.2373,                 1.4425,                 2.3886,             0.00024307,             0.00024307,             0.00024307
                     76,                 2.5711,                 1.2868,                 2.0849,                0.72392,                 0.3964,                0.42282,                0.23414,                 3.2719,                 1.4651,                 2.4146,             0.00023407,             0.00023407,             0.00023407
                     77,                 2.5834,                 1.2912,                 2.0925,                0.54722,                0.41159,                0.42573,                0.23197,                 3.2641,                 1.4525,                 2.4311,             0.00022507,             0.00022507,             0.00022507
