                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 3.3243,                 2.5055,                 1.8055,                0.44921,                0.40665,                0.38558,                0.22358,                 3.2889,                 3.3314,                 1.9491,             0.00049506,             0.00049506,             0.00049506
                     58,                 3.3834,                 2.4869,                 1.8423,                0.47371,                0.41395,                0.39647,                0.22857,                 3.3537,                  2.997,                 1.9626,             0.00048406,             0.00048406,             0.00048406
                     59,                 3.3944,                 2.5117,                 1.8315,                0.44251,                0.40527,                0.37399,                0.20914,                   3.38,                 3.4105,                 1.9653,             0.00047306,             0.00047306,             0.00047306
                     60,                 3.3109,                 2.4617,                 1.8172,                0.45333,                0.40012,                0.37849,                0.21688,                 3.3919,                 3.2337,                 1.9524,             0.00046206,             0.00046206,             0.00046206
                     61,                 3.4213,                 2.4601,                 1.8344,                0.44471,                0.40254,                0.37581,                0.21844,                 3.3567,                 3.6721,                 1.9688,             0.00045107,             0.00045107,             0.00045107
                     62,                 3.3707,                 2.4436,                 1.8247,                0.43098,                0.40164,                0.38509,                0.22741,                 3.2543,                 3.2838,                  1.922,             0.00044007,             0.00044007,             0.00044007
                     63,                 3.3183,                  2.421,                 1.8372,                0.46043,                0.40744,                0.39439,                0.23044,                 3.2711,                 3.2837,                 1.9485,             0.00042907,             0.00042907,             0.00042907
                     64,                  3.287,                 2.3835,                 1.8151,                0.44607,                0.39987,                0.38374,                0.22001,                 3.3901,                 3.2626,                 1.9611,             0.00041807,             0.00041807,             0.00041807
                     65,                 3.3497,                 2.3759,                 1.8049,                 0.4491,                0.39213,                0.36749,                0.20865,                 3.4625,                 3.5871,                 1.9745,             0.00040707,             0.00040707,             0.00040707
                     66,                 3.3032,                 2.3136,                 1.8095,                0.42931,                0.38476,                0.36235,                0.19975,                  3.591,                 3.8106,                 2.0053,             0.00039607,             0.00039607,             0.00039607
                     67,                 3.2816,                 2.3877,                 1.8179,                0.42899,                0.40766,                 0.3705,                0.21346,                 3.3518,                 3.2911,                  1.966,             0.00038507,             0.00038507,             0.00038507
                     68,                 3.2509,                 2.3014,                 1.8095,                0.44647,                0.39864,                0.37157,                 0.2109,                 3.3813,                 3.2603,                 1.9745,             0.00037407,             0.00037407,             0.00037407
                     69,                 3.3019,                 2.3837,                 1.8226,                0.41283,                0.40293,                0.35205,                0.20533,                 3.2995,                  3.393,                 1.9653,             0.00036307,             0.00036307,             0.00036307
                     70,                  3.348,                 2.3702,                  1.822,                0.42983,                0.39002,                0.36431,                0.21439,                 3.3543,                 3.4364,                 1.9503,             0.00035208,             0.00035208,             0.00035208
                     71,                 3.2555,                 2.3025,                 1.8127,                 0.4425,                0.41386,                0.38529,                0.22068,                 3.4108,                 3.2301,                 1.9655,             0.00034108,             0.00034108,             0.00034108
                     72,                 3.3697,                 2.3479,                  1.811,                 0.4484,                0.39202,                0.37001,                0.21772,                 3.3262,                 3.5121,                 1.9594,             0.00033008,             0.00033008,             0.00033008
